857974462884581377	Bahubali 2 ke liye line lag sakte hai desh ke liye kyun lage line me... #notebandi #Bahubali2					Hindi	
857292769961926656	agar #notebandi ke time political party bhi #rti ke daayre me aa jati to #sukmaattack #kashmir me patthar attack na hote @PMOIndia		Mixed				
857278769278709760	#Notebandi se Kuch fyda nahi hua lekin yeh baat public tak nahi pahuncha sake Root level se kaam nahi hua		Hindi				
857094079485792257	kabhi aap logo na "Lokpal" par baat ki? kyo? aakhir modi ji na kya de rakha hai media ko? naxali, aatankwad? #notebandi sa kya mila?			Hindi			
856897065367986176	Inle  bas ki baat nahi hai vishwas dila pana!Ye kewal #Notebandi jaisa disruption hi kar sakte hain jiska result zero hai!					Hindi	
862172708255047680	Naqli note ke liye #NoteBandi ho sakti hai to naqli vote ke liye #EVMBandi kyo nahi.						Hindi
861314977012998145	aur #NoteBandi Naxal, Aatankwad aur paththarwazon ki kamar tod degi. desh ki sari problm khatm ho chuki hn -PM modi jai hind	Hindi					
860777883484262400	#notebandi ke baad bhi aam janta ke #bankaccount me 15 laakh rs nahi aaye @PMOIndia akele sabka paisa kaise ghot sakte hain @sambitswaraj		Hindi				
891661314719977473	Fake currency, aatankvad, corruption San khatam honai wala tha #notebandi sa?  Kyo n hua? Sawal puchna ki himmat hai sir?			Hindi			
872483689925496832	@TimesNow imagine the mentality.. #notebandi aur #nasbandi mein fark hi pata aur inhe PM ban na hai. #GathbandhanWithGhotala					Both	
870582785517510656	#NoteBandi hui fail bhakto bajao taali ab kaho sanghi modi is great mera desh badal raha hai aur aache din aa gaye	Hindi					
951462280138391552	#AadhaarCard banane lambi line mein khade hue log kya itni aasaani se #notebandi aur #GST ki taqleefein bhool gaye? Kya hum bina koi virodh kiye phir mushkilon mein dhakele ja rahe hain?pic.twitter.com/wNCag3gecG		Hindi				
948648227011690496	@narendramodi jab aapne #notebandi ki janta ne aapka dukh sehte hue bhi pura saath diya. Bas usi tarah is #reservation ke kide ko bhi sanvidhan se nikal dijiye.pura desh samarthan dega. Reservation nahi Give economic support to EBC's which shouldn't be caste based.		Both				
948071495305187328	#notebandi ke bad sahab kaha gaye the parliament mein attendance kioo nahi diye the jo aaj PAPA ke PAPPI bhonk rahe hai twitter per			Hindi			
879571506598215681	Jaise #NoteBandi se Pura desh ko Faida hua Hai aise #GSTBill bi hogi  Kal pura furniture shop wale strike kiye the chandigarh mein	Hindi					
875620538214825989	Isme koi doubt nahi ki #noteBandi abhitak ka sabse bada #ArthikGhotala hai jo maine aj se 4-5 mahine pahle hi kaha tha. #GafeeboKiKamarTodDihttps://twitter.com/ravita4ever/status/875616958665768961 …		Hindi				
847719604189188096	kaha to gaya tha ki #notebandi se interest rate badhega per yaha to ulta hi ho reha hai. https://twitter.com/abpnewshindi/status/847715242234609664 …						Hindi
847511236631592960	Lekin fir bhi #SamratModi Mahan hain. Unhone #Notebandi se desh ki janta ka dil aur elections jeete hain https://twitter.com/RanaAyyub/status/847473515620061184 …	Hindi					
847376105065529344	almost sabhi #MPs ko malum tha ki #NoteBandi hogi lekin #public ko pta nhi tha to kaise kahe hum aazad hai?		Hindi				
886939539280769024	@narendramodi Tera hardwork dekh kar Harvard wale bhi sharma gaye kis ulloo ne kaha tha #notebandi karne ko,RBI ki saakh mitti mein mila di pic.twitter.com/1942OBiva8					Hindi	
899490672381644800	@abhisar_sharma #Notebandi ki wajah se Srijan scam ujagar hua , paisa janha Ka tanha fas gya thA, ye tamacha nahi to or kya hai..						Hindi
897432037874843648	Mitronnnnnnn.. y word use na kara .... kuch #notebandi wali feeling aati hai !				Mixed		
942810628862902273	Note phenk k koyi bhi Election Jeet Sakta hain.. But...  #Notebandi Karke Ek hi Insaan Election Jeet Sakta hai.. Woh hai #NarendraModi ji #GujaratVerdict #thoughtoftheday #GujaratElection2017 #HimachalVerdict #GujaratResults	Mixed					
939547100802682880	#Notebandi me line me log mare atm ki aur bank ki. Ab iske hone se ghar ghar mout naachegi suiside se. #Harharmodighargharmodi. Ab bhuktto.https://twitter.com/AAPDelhi/status/938342714462027776 …		Hindi				
939391326088339456	Tumko aur @OfficeOfRG ko ek hi jhatake #NoteBandi me bhikhmanga bana diya.Ab tumhare jaise #BlackMoneyHolder jindagi bhar bheekh mangega.				Hindi		
938994127047241728	#NoteBandi ka zakhm bhara nahi ki ye GST ka ghaav de gaye,pehle se hi berozgari ki maar,mahila suraksha nahi,crime ratio badgaya Hain, ye hai #Modi ji ke acche din #ArvindKejriwal #RahulGandhi #aajtak #ABP #NDTV #RavishKumar #HardikPatel		Mixed				
938578967937740805	#NoteBandi mein Temporary Ban to lag Chuka hai.Koi baat nahin hai ! https://twitter.com/ShilpiSinghINC/status/938561721316163584 …						Mixed
916572722322300933	1 aur failure! #notebandi main bar-2 niyam badla, now #GST! kam karna sai pehla budhiman sochta h, aur kam karna ka bad murakh sochta h					Mixed	
915439980859744256	#ArunShorry Ji aakhir itne dino baad apko yaad aa rha hai ki #Notebandi galat faisla tha. Itne dino tak kisne kidnep kiya hua tha?			Mixed			
915069610264629250	aap jaise paid media jinka political agenda hai, ki asaliyat pata chal gayi bas yahi fayda Hua #NoteBandi se	Hindi					
914149144117133312	Ye tir kahi #Ravan ko miss kar ke kisi #aamadmi ko naa lag jaye , samhhal ke mariyega sir.#Notebandi and #Gst ki tarah misfire na ho jaye.https://twitter.com/narendramodi/status/914138490316529664 …			Hindi			
935127547242733568	@narendramodi #narendramodi ji ab janta bevakoof nai banne vali, ye jo ap dikhane ki kosis kar rahe k ap garibon k sath h qki ap b kabhi garib parivar se the, to bhul jaiye qki janta #notebandi aur #GST k thappad kha k samajh gai k @BJP4India garib k sath h ya businessmen k sath			Mixed			
